Dim1,Dim2,Revenue
-0.11361397,1.1005156,0
-0.11066047,1.1043478,0
-0.11361397,1.1005156,0
-0.11066047,1.1043478,0
-0.09100313,1.1482562,0
-0.120240994,1.3063209,0
-0.11361397,1.1005156,0
-0.11361397,1.1005156,0
-0.11066047,1.1043478,0
-0.10770709,1.1081798,0
-0.10770709,1.1081798,0
-0.10739953,1.2733728,0
-0.09589363,1.1235083,0
-0.09884698,1.1196762,0
-0.11066047,1.1043478,0
-0.11152572,1.3784413,0
-0.11361397,1.1005156,0
-0.098595984,1.2146746,0
-0.11066047,1.1043478,0
-0.12170721,1.3178129,0
-0.09294016,1.1273404,0
-0.11066047,1.1043478,0
-0.10770709,1.1081798,0
-0.11066047,1.1043478,0
-0.11361397,1.1005156,0
-0.10180033,1.1158441,0
-0.14666146,1.6096576,0
-0.10475374,1.112012,0
-0.10475374,1.112012,0
1.2753891,2.4809947,0
-0.11066044,1.1043478,0
-0.10770709,1.1081799,0
-0.09294016,1.1273404,0
-0.09100313,1.1482562,0
-0.10112698,1.236814,0
-0.2085948,1.9604115,0
-0.09294016,1.1273404,0
-0.09589363,1.1235083,0
-0.09589363,1.1235083,0
-0.08998675,1.1311725,0
-0.18924046,1.8508009,0
-0.10770709,1.1081798,0
-0.10365785,1.2589535,0
-0.11066047,1.1043478,0
-0.10475374,1.112012,0
-0.1176346,1.3420643,0
-0.10112698,1.236814,0
-0.10770709,1.1081798,0
-0.09353406,1.1703956,0
-0.11361397,1.1005156,0
-0.11361397,1.1005156,0
-0.09606505,1.1925352,0
-0.11066047,1.1043478,0
-0.10475374,1.112012,0
-0.10475374,1.112012,0
-0.11361397,1.1005156,0
-0.11361397,1.1005156,0
0.30952233,1.8096603,0
-0.10475374,1.112012,0
-0.115960486,1.2953383,0
-0.09884698,1.1196762,0
-0.09294016,1.1273404,0
0.762453,2.2725863,0
-0.10112686,1.2368141,0
-0.11361397,1.1005156,0
0.5537798,1.6068758,1
-0.39527708,2.972339,0
-0.11361397,1.1005156,0
-0.115960486,1.2953383,0
-0.11361397,1.1005156,0
-0.11361397,1.1005156,0
-0.12170721,1.3178129,0
-0.11066047,1.1043478,0
-0.09294016,1.1273404,0
-0.10770709,1.1081798,0
-0.10739953,1.2733728,0
0.011442117,1.8484371,1
-0.11066047,1.1043478,0
-0.11361397,1.1005156,0
-0.11361397,1.1005156,0
-0.09589363,1.1235083,0
-0.10475374,1.112012,0
-0.09884698,1.1196762,0
-0.09606505,1.1925352,0
-0.11361397,1.1005156,0
-0.11361397,1.1005156,0
-0.09589363,1.1235083,0
-0.10770709,1.1081798,0
-0.09589363,1.1235083,0
-0.120240994,1.3063209,0
-0.11168004,1.2843555,0
-0.11361397,1.1005156,0
-0.11066047,1.1043478,0
0.8532395,-0.74960196,0
-0.111823864,1.4123586,0
-0.11066044,1.1043478,0
-0.09884698,1.1196762,0
-0.10475374,1.112012,0
-0.09294016,1.1273404,0
-0.10739953,1.2733728,0
-0.1660155,1.7192681,0
0.44264174,1.4442129,1
-0.09884698,1.1196762,0
-0.15827382,1.675424,0
-0.12170721,1.3178129,0
-0.11066047,1.1043478,0
-0.09100313,1.1482562,0
-0.09606505,1.1925352,0
-0.11066047,1.1043478,0
-0.6305589,4.101675,0
-0.10475374,1.112012,0
-0.10475374,1.112012,0
-0.11361397,1.1005156,0
-0.111823864,1.4123585,0
-0.12730718,1.5000471,0
-0.09606505,1.1925352,0
-0.119670935,1.3299387,0
-0.09353406,1.1703956,0
-0.09294016,1.1273404,0
-0.09884698,1.1196762,0
-0.09884698,1.1196762,0
-0.10475374,1.112012,0
-0.10739953,1.2733728,0
-0.10770709,1.1081798,0
-0.09353406,1.1703956,0
-0.11361397,1.1005156,0
-0.08998675,1.1311727,0
-0.09100301,1.1482563,0
-0.22020715,2.0261776,0
-0.10770709,1.1081798,0
-0.11066047,1.1043478,0
-0.115960486,1.2953383,0
-0.11361397,1.1005156,0
-0.09884698,1.1196762,0
-0.13117802,1.5219691,0
-0.09884698,1.1196762,0
-0.08998675,1.1311725,0
-0.10770709,1.1081798,0
-0.11066047,1.1043478,0
-0.115960486,1.2953383,0
-0.11361397,1.1005156,0
-0.08998675,1.1311725,0
-0.09353406,1.1703956,0
-0.11361397,1.1005156,0
-0.09353406,1.1703956,0
-0.10770709,1.1081798,0
-0.10770709,1.1081798,0
-0.10475374,1.112012,0
-0.11569477,1.4342806,0
-0.09353406,1.1703956,0
-0.12170721,1.3178129,0
-0.11361397,1.1005156,0
-0.10475374,1.112012,0
-0.120240994,1.3063209,0
-0.08998675,1.1311725,0
-0.119670935,1.3299387,0
-0.11361397,1.1005156,0
-0.09884698,1.1196762,0
-0.11361388,1.1005156,0
-0.11361388,1.1005156,0
-0.11559833,1.35419,0
-0.14279056,1.5877355,0
-0.113562055,1.3663157,0
-0.09884698,1.1196762,0
-0.11559833,1.35419,0
-0.09606505,1.1925352,0
-0.10180033,1.1158441,0
-0.10180033,1.1158441,0
-0.09353406,1.1703956,0
-0.12170721,1.3178129,0
-0.10739953,1.2733728,0
-0.11168004,1.2843555,0
-0.10770709,1.1081798,0
-0.11361397,1.1005156,0
-0.119565494,1.4562027,0
-0.098595984,1.2146746,0
-0.09589363,1.1235083,0
-0.1176346,1.3420643,0
-0.11361397,1.1005156,0
-0.09884698,1.1196762,0
-0.11168004,1.2843555,0
-0.11361397,1.1005156,0
-0.11361397,1.1005156,0
-0.09294016,1.1273404,0
-0.14225388,1.5170267,0
0.062119775,1.4880112,0
-0.17201269,2.081899,0
-0.4678653,3.5079088,0
-0.20500982,2.2714942,1
0.78496784,3.0047178,0
-0.17029262,1.2363075,0
-0.11397315,1.666753,0
-0.16539273,1.3945231,0
-0.17369118,1.2502916,0
-0.13968295,1.5306381,0
-0.41439193,3.2512417,0
1.4231049,0.016721398,1
-0.15510881,1.4489691,0
3.372325,2.9041,1
3.1159616,2.6282492,1
3.7039778,5.679031,1
-0.17853633,1.2746048,0
0.96277493,-0.8512162,0
-0.17369118,1.2502916,0
-0.16282171,1.4081346,0
0.9634498,-0.84728014,0
1.7001797,0.29603764,1
0.95535487,-0.8945117,0
0.95535487,-0.8945117,0
-0.17177549,1.3022597,0
-0.17186332,1.2855915,0
-0.16025075,1.4217461,0
-0.17029268,1.2363074,0
-0.16893259,1.3747336,0
-0.1576798,1.4353576,0
-0.13968295,1.5306381,0
-0.17535147,1.2802736,0
-0.10626013,1.7075875,0
-0.16539273,1.3945231,0
-0.17369118,1.2502916,0
0.8767616,1.9441134,1
-0.17853633,1.2746048,0
-0.17611372,1.2624482,0
0.9553544,-0.8945116,0
-0.12168605,1.6259185,0
-0.17029268,1.2363074,0
-0.12719327,1.8869486,0
-0.17377183,1.325885,0
0.4513806,1.5030637,1
-0.14739585,1.4898037,0
-0.13292247,2.1104412,0
-0.124257036,1.612307,0
-0.17377183,1.325885,0
0.22406012,2.2159326,0
-0.14482492,1.503415,0
-0.1576798,1.4353576,0
-0.11397309,1.666753,0
-0.1117099,1.79926,0
-0.17377183,1.325885,0
-0.15510881,1.4489691,0
-0.2223708,2.2930858,0
-0.13454092,1.5578611,0
-0.14739585,1.4898037,0
-0.12168605,1.6259185,0
-0.17186332,1.2855915,0
-0.116544016,1.6531416,0
-0.16025075,1.4217461,0
-0.17325303,1.3499653,0
-0.13472909,2.0075166,1
-0.28070933,2.6095738,0
-0.14654744,1.9965589,0
-0.14996678,1.4761921,0
-0.17029268,1.2363074,0
-0.17853633,1.2746048,0
-0.17029262,1.2363075,0
-0.1371119,1.5442495,0
-0.17369118,1.2502916,0
-0.17377183,1.325885,0
-0.13106394,1.9088705,0
0.9560295,-0.89057565,0
-0.15253782,1.4625807,0
-0.166863,1.222265,0
0.049836807,1.6247919,1
-0.17377183,1.325885,0
-0.11911506,1.63953,0
1.0696336,2.849813,1
-0.14482492,1.503415,0
-0.17853633,1.2746048,0
-0.1576798,1.4353576,0
-0.17535147,1.2802736,0
-0.1576798,1.4353576,0
-0.166863,1.222265,0
0.9607516,-0.863024,0
-0.13493484,1.9307928,0
-0.17853633,1.2746048,0
-0.17029268,1.2363074,0
0.97176963,2.038244,1
-0.14996678,1.4761921,0
-0.17853633,1.2746048,0
-0.11397309,1.666753,0
-0.17369118,1.2502916,0
1.3346671,2.4435363,1
-0.1399948,2.1340954,0
-0.17535147,1.2802736,0
-0.16539273,1.3945231,0
-0.17177549,1.3022597,0
-0.16686302,1.222265,0
-0.10626025,1.7075875,0
-0.41973943,3.2769086,0
-0.17611375,1.2624482,0
-0.17201269,2.081899,0
-0.17377183,1.325885,0
-0.1117099,1.79926,0
-0.166863,1.222265,0
1.1049994,2.224333,1
1.478791,2.6366014,1
-0.11140204,1.6803645,0
-0.12939894,1.5850841,0
-0.166863,1.222265,0
-0.17369118,1.2502916,0
-0.13968295,1.5306381,0
-0.1576798,1.4353576,0
-0.17029268,1.2363074,0
-0.10626013,1.7075875,0
-0.17611375,1.2624482,0
-0.17029268,1.2363074,0
-0.17029268,1.2363074,0
-0.17029268,1.2363074,0
-0.16539273,1.3945231,0
-0.124257036,1.612307,0
-0.12168605,1.6259185,0
-0.17369118,1.2502916,0
-0.16539273,1.3945231,0
-0.124257036,1.612307,0
-0.12719327,1.8869486,0
-0.21798277,2.2688935,0
-0.17029268,1.2363074,0
-0.17853633,1.2746048,0
-0.17186338,1.2855915,0
-0.13880575,1.9527148,0
0.0137785,1.5383161,1
-0.17853633,1.2746048,0
-0.17325303,1.3499653,0
0.9769419,-0.76856124,0
-0.2860567,2.6352406,0
-0.17177549,1.3022597,0
0.9533308,-0.9063195,0
-0.1576798,1.4353576,0
-0.16025075,1.4217461,0
0.9567041,-0.8866396,0
-0.166863,1.222265,0
0.9905903,-0.7190999,0
-0.13196981,1.5714726,0
-0.25747597,2.486625,0
-0.2967512,2.686574,0
-0.1576798,1.4353576,0
-0.17377183,1.325885,0
-0.14654744,1.9965589,0
-0.17611375,1.2624482,0
-0.11911506,1.63953,0
-0.17186332,1.2855915,0
-0.166863,1.222265,0
-0.17177549,1.3022597,0
-0.13196981,1.5714726,0
-0.166863,1.222265,0
0.95535487,-0.8945117,0
-0.16539273,1.3945231,0
-0.13106394,1.9088705,0
0.9688464,-0.8157928,0
-0.16282171,1.4081346,0
0.96210045,-0.85515213,0
